ラッキーピエロ　ベイエリア本店,4.5,北海道,洋食,http://www.jalan.net/jalan/img/4/spot/0154/KL/guide000000154445_2.JPG,040-0053,北海道函館市末広町23-18,http://www.jalan.net/gourmet/grm_guide000000154445/,41.7657156,140.714781
サッポロビール園,4.2,北海道,アジア料理,http://www.jalan.net/jalan/img/7/spot/0137/KL/foomoojH000137015_1.jpg,065-0000,北海道札幌市東区北7条東9丁目2-10,http://www.jalan.net/gourmet/grm_foomoojH000137015/,43.0708674,141.3684249
函館朝市,3.9,北海道,軽食・その他グルメ,http://www.jalan.net/jalan/img/5/spot/0085/KL/01202ga3550085398_3.jpg,040-0063,北海道函館市若松町9-19,http://www.jalan.net/gourmet/grm_01202ga3550085398/,41.7725484,140.7253882
小樽　洋菓子舗　ルタオ,4.3,北海道,カフェ・スイーツ,http://www.jalan.net/jalan/img/3/spot/0173/KL/guide000000173110_3.JPG,047-0027,北海道小樽市堺町7-16,http://www.jalan.net/gourmet/grm_guide000000173110/,43.1912977,141.0074186
成吉思汗　だるま支店,4.4,北海道,アジア料理,http://www.jalan.net/jalan/img/6/spot/0176/KL/guide000000176437_2.JPG,064-0806,北海道札幌市中央区南6西4,http://www.jalan.net/gourmet/grm_guide000000176437/,43.0531607,141.3533992
ニッカウヰスキー　余市蒸溜所,4.4,北海道,軽食・その他グルメ,http://www.jalan.net/jalan/img/8/spot/0178/KL/guide000000178072_1.jpg,046-0003,北海道余市郡余市町黒川町,http://www.jalan.net/gourmet/grm_guide000000178072/,43.1895606,140.7913727
元祖大沼だんご　沼の家,4.4,北海道,カフェ・スイーツ,http://www.jalan.net/jalan/img/4/spot/0154/KL/guide000000154417_2.jpg,041-1354,北海道亀田郡七飯町大沼町145,http://www.jalan.net/gourmet/grm_guide000000154417/,41.9816916,140.6708495
ぱんちょう,4.1,北海道,和食,http://www.jalan.net/jalan/img/5/spot/0065/KL/2ed23_0000322698.JPG,080-0011,北海道帯広市西1条南11,http://www.jalan.net/gourmet/grm_01207fc3560065541/,42.919861,143.2040552
大黒屋商店,4.5,北海道,カフェ・スイーツ,http://www.jalan.net/jalan/img/1/spot/0101/KL/guide000000101002_2.JPG,061-2302,北海道札幌市南区定山渓温泉東4-319,http://www.jalan.net/gourmet/grm_guide000000101002/,42.9647702,141.1630171
ハセガワストア中道店,4.3,北海道,和食,http://www.jalan.net/jalan/img/4/spot/0154/KL/guide000000154434_2.jpg,041-0853,北海道函館市中道2-14-16,http://www.jalan.net/gourmet/grm_guide000000154434/,41.807885,140.7622063
なると 本店,4.3,北海道,軽食・その他グルメ,http://www.jalan.net/jalan/img/0/spot/0100/KL/e4520_0000193788.jpg,047-0000,北海道小樽市稲穂3-16-13,http://www.jalan.net/gourmet/grm_alikejpA000100339/,43.2003358,140.994967
ニセコヌプリホルスタインズ　ミルク工房,4.3,北海道,カフェ・スイーツ,http://www.jalan.net/jalan/img/3/spot/0173/KL/guide000000173111_3.JPG,048-1522,北海道虻田郡ニセコ町曽我888-1,http://www.jalan.net/gourmet/grm_guide000000173111/,42.8365707,140.6755984
